Glottocode	Sources	Latitude	Longitude	Family	Macroarea
bera1262	3	1.6687	117.934	Austronesian [aust1307]	Papunesia
mesa1245	5	6.32679	9.8723	Atlantic-Congo [atla1278]	Africa
icev1238	4	6.42426	9.50264	Atlantic-Congo [atla1278]	Africa
otan1238	2	6.54809	9.34019	Atlantic-Congo [atla1278]	Africa
gwan1268	6	9.20464	7.49931	Afro-Asiatic [afro1255]	Africa
iyoo1238	2	-5.84161	146.092	Nuclear Trans New Guinea [nucl1709]	Papunesia
doma1258	21	32.0	35.0	Indo-European [indo1319]	Eurasia
nort2645	10	32.5438	47.916	Indo-European [indo1319]	Eurasia
bakh1245	15	32.0163	49.7713	Indo-European [indo1319]	Eurasia
sout2647	13	30.4669	50.8382	Indo-European [indo1319]	Eurasia
hame1242	30	5.06515	36.5176	South Omotic [sout2845]	Africa
anga1316	10	-22.85	-58.45	Lengua-Mascoy [leng1261]	South America
kwak1266	11	4.34393	13.6446	Atlantic-Congo [atla1278]	Africa
caca1247	9	13.7437	-88.1133	Misumalpan [misu1242]	North America
kank1244	7	10.750207	-73.357544	Chibchan [chib1249]	South America
tong1321	11	-12.0816	34.0613	Atlantic-Congo [atla1278]	Africa
sout2826	14	4.47607	-7.56872	Kru [krua1234]	Africa
yang1293	13	4.41971	11.0277	Atlantic-Congo [atla1278]	Africa
nort2760	11	-34.85	149.1	Pama-Nyungan [pama1250]	Australia
gaww1239	17	5.37869	37.2737	Afro-Asiatic [afro1255]	Africa
clas1252	16	37.1129	42.1432	Afro-Asiatic [afro1255]	Eurasia
late1255	29	32.276389	35.195	Afro-Asiatic [afro1255]	Eurasia
inga1254	4	-24.621052	-54.254151	Nuclear-Macro-Je [nucl1710]	South America
goem1240	15	8.74455	9.72453	Afro-Asiatic [afro1255]	Africa
cent2117	24	-5.80391	138.471	Nuclear Trans New Guinea [nucl1709]	Papunesia
wich1263	17	-24.2189	-61.9117	Matacoan [mata1289]	South America
dhuw1249	18	-12.7825	136.008	Pama-Nyungan [pama1250]	Australia
guma1253	6	-12.25254	136.83042	Pama-Nyungan [pama1250]	Australia
nugu1241	4	-31.9899	133.908	Pama-Nyungan [pama1250]	Australia
pyap1239	6	9.09539	9.43733	Afro-Asiatic [afro1255]	Africa
ayuu1242	7	9.2634	8.60225	Atlantic-Congo [atla1278]	Africa
mwag1236	18	9.47205	8.96522	Afro-Asiatic [afro1255]	Africa
ninz1246	8	8.95791	8.47328	Atlantic-Congo [atla1278]	Africa
hyam1245	19	9.57832	7.95163	Atlantic-Congo [atla1278]	Africa
mish1244	11	9.20477	9.33752	Afro-Asiatic [afro1255]	Africa
mont1280	7	9.01778	9.65014	Afro-Asiatic [afro1255]	Africa
kule1247	12	9.18	8.85	Afro-Asiatic [afro1255]	Africa
koen1239	5	9.01129	9.46622	Afro-Asiatic [afro1255]	Africa
jort1240	10	9.065	9.361	Afro-Asiatic [afro1255]	Africa
eten1239	10	9.73073	8.61443	Atlantic-Congo [atla1278]	Africa
mada1282	10	9.02294	8.34119	Atlantic-Congo [atla1278]	Africa
nung1292	3	8.95481	8.62164	Atlantic-Congo [atla1278]	Africa
irig1241	12	9.85197	8.6525	Atlantic-Congo [atla1278]	Africa
tall1250	12	9.15354	9.50774	Afro-Asiatic [afro1255]	Africa
jjuu1238	16	9.83116	7.97167	Atlantic-Congo [atla1278]	Africa
taro1263	14	8.98356	10.0288	Atlantic-Congo [atla1278]	Africa
gbag1258	8	9.29842	6.90495	Atlantic-Congo [atla1278]	Africa
male1284	7	5.91975	36.9892	Ta-Ne-Omotic [gong1255]	Africa
gayo1244	6	4.3733	97.3456	Austronesian [aust1307]	Papunesia
maza1291	29	36.241	52.3009	Indo-European [indo1319]	Eurasia
alum1246	2	9.01513	8.55956	Atlantic-Congo [atla1278]	Africa
ngel1238	8	1.81314	24.8754	Atlantic-Congo [atla1278]	Africa
hmon1264	18	22.5638	101.95	Hmong-Mien [hmon1336]	Eurasia
yolo1241	8	16.8059	-98.6293	Otomanguean [otom1299]	North America
shah1254	8	36.7581	50.2074	Indo-European [indo1319]	Eurasia
mwer1248	8	-9.75639	38.8762	Atlantic-Congo [atla1278]	Africa
moni1237	13	13.5343	-85.1746	Otomanguean [otom1299]	North America
nort2627	60	53.115373	12.391439	Indo-European [indo1319]	Eurasia
west2456	7	6.33455	2.03904	Atlantic-Congo [atla1278]	Africa
nook1247	6	48.2201	-121.973	Salishan [sali1255]	North America
yuru1264	5	-19.836	147.361	Pama-Nyungan [pama1250]	Australia
vaag1238	7	12.215	79.5335	Indo-European [indo1319]	Eurasia
zimb1251	15	-4.013	26.6083	Atlantic-Congo [atla1278]	Africa
orin1239	16	6.68753	8.12005	Atlantic-Congo [atla1278]	Africa
hamt1247	13	-7.54975	146.227	Angan [anga1289]	Papunesia
pali1273	20	24.5271	82.251	Indo-European [indo1319]	Eurasia
alba1269	6	13.1989	123.49	Austronesian [aust1307]	Papunesia
kamb1302	9	-3.53189	133.518	Nuclear Trans New Guinea [nucl1709]	Papunesia
semi1264	9	-3.71553	134.454	Mairasic [mair1253]	Papunesia
ihaa1241	23	-2.81013	132.271	West Bomberai [west2604]	Papunesia
kemb1235	12	-2.24495	132.988	South Bird's Head Family [sout1516]	Papunesia
baha1258	17	-3.10628	132.637	West Bomberai [west2604]	Papunesia
busa1254	4	-1.73681	136.032	Austronesian [aust1307]	Papunesia
mara1397	5	-1.66738	135.797	Austronesian [aust1307]	Papunesia
ansu1237	15	-1.7543	135.866	Austronesian [aust1307]	Papunesia
irar1238	17	-2.94438	133.586	Austronesian [aust1307]	Papunesia
mung1269	5	-1.66773	135.918	Austronesian [aust1307]	Papunesia
pomm1237	8	-1.64224	135.619	Austronesian [aust1307]	Papunesia
wabo1240	7	-1.77297	136.757	Austronesian [aust1307]	Papunesia
kuru1305	7	-1.8444	137.018	Austronesian [aust1307]	Papunesia
seru1244	8	-1.87766	136.252	Austronesian [aust1307]	Papunesia
ngal1298	15	-4.67682	141.03	Nuclear Trans New Guinea [nucl1709]	Papunesia
teiw1235	5	-8.37662	124.174	Timor-Alor-Pantar [timo1261]	Papunesia
sehw1238	9	6.3172	-2.73146	Atlantic-Congo [atla1278]	Africa
jamb1236	9	-2.6469	103.13	Austronesian [aust1307]	Papunesia
duan1242	12	0.72162	103.46759	Austronesian [aust1307]	Papunesia
wymy1235	7	49.91617	19.15195	Indo-European [indo1319]	Eurasia
gane1238	1	-31.32	28.75	Tuu [tuuu1241]	Africa
taku1257	1	-4.773094	157.032085	Austronesian [aust1307]	Papunesia
pari1256	10	5.09472	32.4822	Nilotic [nilo1247]	Africa
buru1301	13	10.725	33.921	Nilotic [nilo1247]	Africa
west1511	4	20.4574	-97.9486	Totonacan [toto1251]	North America
juti1236	10	54.911	9.38924	Indo-European [indo1319]	Eurasia
jumj1238	13	10.4349	33.7494	Nilotic [nilo1247]	Africa
olub1238	6	4.6242	31.9103	Central Sudanic [cent2225]	Africa
jewi1240	5	32.273	44.245	Afro-Asiatic [afro1255]	Eurasia
kona1242	6	-5.66011	142.069	East Strickland [east2433]	Papunesia
matu1261	10	-4.9078	145.779	Austronesian [aust1307]	Papunesia
baan1241	4	4.66709	7.30065	Atlantic-Congo [atla1278]	Africa
vinc1243	8	13.2436	-61.1963	Indo-European [indo1319]	North America
ashe1272	16	-10.9777	-74.9153	Arawakan [araw1281]	South America
jura1242	3	19.091	84.1204	Austroasiatic [aust1305]	Eurasia
mila1245	10	28.5539908	95.186127	Sino-Tibetan [sino1245]	Eurasia
matt1238	11	40.4321	-122.863	Athabaskan-Eyak-Tlingit [atha1245]	North America
iaai1238	10	-20.6301	166.59	Austronesian [aust1307]	Papunesia
tepe1280	8	17.756	-96.788	Otomanguean [otom1299]	North America
teut1235	1	17.9029	-96.6645	Otomanguean [otom1299]	North America
ajyi1238	14	-9.82364	-74.61947	Arawakan [araw1281]	South America
amoo1242	5	10.3229	8.65405	Atlantic-Congo [atla1278]	Africa
food1238	3	9.56489	1.40486	Atlantic-Congo [atla1278]	Africa
jenn1240	29	11.5041	76.5767	Dravidian [drav1251]	Eurasia
lobi1245	16	9.96122	-3.336	Atlantic-Congo [atla1278]	Africa
bada1257	16	11.3094	76.5974	Dravidian [drav1251]	Eurasia
rong1264	11	30.528	79.567	Sino-Tibetan [sino1245]	Eurasia
karb1241	31	25.7317	93.0462	Sino-Tibetan [sino1245]	Eurasia
miju1243	23	28.4732	97.0444	Sino-Tibetan [sino1245]	Eurasia
bodo1267	17	18.3857	82.771	Austroasiatic [aust1305]	Eurasia
kham1290	22	27.6653	97.0359	Tai-Kadai [taik1256]	Eurasia
tedi1235	15	23.6079	93.519	Sino-Tibetan [sino1245]	Eurasia
chau1259	9	29.7033	80.4832	Sino-Tibetan [sino1245]	Eurasia
mend1261	11	6.00034	10.2307	Atlantic-Congo [atla1278]	Africa
