Glottocode	Sources	Latitude	Longitude	Family	Macroarea
kota1263	4	11.4978	76.9387	Dravidian [drav1251]	eurasia
emae1237	3	-17.052	168.399	Austronesian [aust1307]	pacific
onin1245	2	-2.75976	132.062	Austronesian [aust1307]	pacific
caml1239	3	27.3371	86.7612	Sino-Tibetan [sino1245]	eurasia
jama1261	17	-7.62223	-66.5662	Arawan [araw1282]	southamerica
bala1314	3	-0.05644	119.689	Austronesian [aust1307]	pacific
gaoo1237	2	-8.35163	159.789	Austronesian [aust1307]	pacific
tina1246	2	32.2852	77.9912	Sino-Tibetan [sino1245]	eurasia
xere1240	8	-9.59426	-48.2629	Nuclear-Macro-Je [nucl1710]	southamerica
kana1291	6	-6.45399	-68.7678	Katukinan [katu1274]	southamerica
akka1237	4	67.8625	32.4046	Uralic [ural1272]	eurasia
kama1360	2	-6.97411	146.20797	Angan [anga1289]	pacific
arik1262	6	45.0	-100.0	Caddoan [cadd1255]	northamerica
kaiy1239	3	-2.94448	138.161	Lakes Plain [lake1255]	pacific
arem1240	2	17.7672	105.928	Austroasiatic [aust1305]	eurasia
mosi1248	2	-4.95226	145.605	Nuclear Trans New Guinea [nucl1709]	pacific
tilu1238	3	27.2203	86.4694	Sino-Tibetan [sino1245]	eurasia
wusi1237	1	-15.2786	166.696	Austronesian [aust1307]	pacific
taje1237	2	-0.72583	120.078	Austronesian [aust1307]	pacific
maku1277	2	-8.40372	127.239	Austronesian [aust1307]	pacific
wabb1237	2	-5.61216	146.461	Austronesian [aust1307]	pacific
hinu1240	7	42.4502	45.8064	Nakh-Daghestanian [nakh1245]	eurasia
saoc1239	3	10.8739	103.835	Austroasiatic [aust1305]	eurasia
nort2952	8	40.4102	-120.645	Maiduan [maid1262]	northamerica
kama1357	5	8.93891	-2.34944	Atlantic-Congo [atla1278]	africa
kopa1248	0	-3.98259	144.466	Lower Sepik [lowe1423]	pacific
demi1242	2	-2.54564	136.694	Geelvink Bay [geel1240]	pacific
andi1255	6	42.8078	46.2919	Nakh-Daghestanian [nakh1245]	eurasia
nguo1239	2	17.7243	105.932	Austroasiatic [aust1305]	eurasia
assi1247	5	49.2923	-106.068	Siouan [siou1252]	northamerica
kosh1246	2	6.5817	10.299	Atlantic-Congo [atla1278]	africa
gana1277	1	5.57583	116.145	Austronesian [aust1307]	pacific
mpot1241	1	-15.8988	167.232	Austronesian [aust1307]	pacific
hoti1237	2	-3.0083	130.168	Austronesian [aust1307]	pacific
gora1261	2	2.13058	128.261	Austronesian [aust1307]	pacific
maca1261	1	0.49999	-75.8333	Tucanoan [tuca1253]	southamerica
vall1253	3	17.7964	-96.3187	Otomanguean [otom1299]	northamerica
andi1257	4	-0.88368	123.174	Austronesian [aust1307]	pacific
piuu1237	2	-6.96694	146.455	Austronesian [aust1307]	pacific
puta1243	1	10.83854	12.99521	Afro-Asiatic [afro1255]	africa
hmwa1243	2	-20.9246	164.768	Austronesian [aust1307]	pacific
xokl1240	10	-26.9217	-49.5886	Nuclear-Macro-Je [nucl1710]	southamerica
paca1245	3	-11.14278	-76.73046	Quechuan [quec1387]	southamerica
amol1235	0	-3.46843	142.532	Nuclear Torricelli [nucl1708]	pacific
west2630	5	46.1381	-72.6511	Algic [algi1248]	northamerica
mand1448	2	1.48	-66.52	Arawakan [araw1281]	southamerica
bare1276	6	1.91649	-66.828	Arawakan [araw1281]	southamerica
legb1242	4	6.02645	7.98385	Atlantic-Congo [atla1278]	africa
acat1239	2	17.1034	-99.0602	Otomanguean [otom1299]	northamerica
sout2699	1	36.6099	60.6907	Turkic [turk1311]	eurasia
toro1251	5	11.1254	30.341	Narrow Talodi [narr1279]	africa
bero1242	2	9.67037	8.81221	Atlantic-Congo [atla1278]	africa
bang1356	8	6.0125	10.667	Atlantic-Congo [atla1278]	africa
hote1245	2	-7.07708	146.869	Austronesian [aust1307]	pacific
sici1249	0	11.1789	-5.28932	Atlantic-Congo [atla1278]	africa
mang1404	1	-6.99891	146.685	Austronesian [aust1307]	pacific
bumm1238	2	6.48655	10.418	Atlantic-Congo [atla1278]	africa
sant1451	6	16.033	-96.0486	Otomanguean [otom1299]	northamerica
awin1248	4	5.88362	10.264	Atlantic-Congo [atla1278]	africa
bhoj1244	13	26.458455	84.817115	Indo-European [indo1319]	eurasia
safw1238	7	-8.54936	33.4766	Atlantic-Congo [atla1278]	africa
olde1238	3	51.06	-1.31	Indo-European [indo1319]	eurasia
swam1239	7	56.0	-95.0	Algic [algi1248]	northamerica
mokp1239	19	4.24178	9.23887	Atlantic-Congo [atla1278]	africa
dhod1238	0	21.0656	73.2743	Indo-European [indo1319]	eurasia
poko1263	2	1.57023	35.2318	Nilotic [nilo1247]	africa
logb1245	6	6.92838	0.43068	Atlantic-Congo [atla1278]	africa
bond1245	2	19.1512	83.8141	Austroasiatic [aust1305]	eurasia
kiri1254	11	4.41126	6.98938	Ijoid [ijoi1239]	africa
