ID	Creators	Creator_Variants	Title	Title_Variants	Year	Sources
Brinkmann-1995-the_locative_alternation_its	Brinkmann, Ursula		The locative alternation: its structure and acquisition		1995	brinkmann_locative-alternation1995
Brinkmann-1997-the_locative_alternation_in	Brinkmann, Ursula		The Locative Alternation in German. Its structure and acquisition		1997	brinkmann_locative-alternation1997
Brockhaus-1995-final_devoicing_in_the	Brockhaus, Wiebke		Final Devoicing in the Phonology of German		1995	brockhaus_final-devoicing1995
Bross-2018-the_clausal_syntax_of	Bross, Fabian		The clausal syntax of German Sign Language: A cartographic approach		2018	bross_clausal-cartographic2018
Bross-2019-the_clausal_syntax_of	Bross, Fabian		The clausal syntax of German Sign Language: A cartographic approach	The clausal syntax of German Sign Language // The clausal syntax of German Sign Language: A cartographic approach	2019	bross_clausal-cartographic2019 bross_clausal-sign2019
Bross-2020-encoding_different_types_of	Bross, Fabian		Encoding different types of topics and foci in German Sign Language. A cartographic approach to sign language syntax		2020	bross_foci-cartographic2020
Brunt-1983-the_influence_of_the	Brunt, Richard J.		The Influence of the French Language on the German Vocabulary. (1649-1735)		1983	brunt_influence-french1983
Brüser-2001-worterbuch_des_kreols_der	Brüser, Martina and Reis Santos, André dos		Wörterbuch des Kreols der Insel Santiago (Kapverde): com equivalentes de tradução em alemão e português		2001	bruser-santos_kreols-kapverde2001 bruser-santos_kreols-kapverde2001
Buck-1999-a_concise_german_grammar	Timothy Buck		A concise German grammar		1999	buck_concise-german1999
Burchardt-2012-die_deutsche_sprache_im	Burchardt, Aljoscha and Egg, Markus and Eichler, Kathrin and Krenn, Brigitte and Kreutel, Jörn and Leßmöllmann, Annette and Rehm, Georg and Stede, Manfred and Uszkoreit, Hans and Volk, Martin		Die Deutsche Sprache im Digitalen Zeitalter – The German Language in the Digital Age		2012	burchardt-egg-eichler-krenn-kreutel-lessmollmann-rehm-stede-uszkoreit-volk_digitalen-zeitalter2012
Burchert-2003-does_morphology_make_the	Burchert, Frank and De Bleser, Ria and Sonntag, Katharina		Does morphology make the difference? Agrammatic sentence comprehension in German		2003	burchert-de-sonntag_make-agrammatic2003
Burger-2010-phraseologie_eine_einfuhrung_am	Burger, Harald		Phraseologie: Eine Einführung am Beispiel des Deutschen [Phraseology: An Introduction for German]		2010	burger_phraseologie-phraseology2010
Businger-1966-zur_syntax_von_haben	Businger, Martin		Zur Syntax von 'haben' als Vollverb		1966	businger_haben-vollverbx1966
Butler-1973-a_technique_for_sentence	Butler, Christopher S.		A Technique for Sentence Structure Analysis as an Aid to Comprehension and Translation of German Chemistry Texts		1973	butler_aid-chemistry1973
Büring-2001-the_syntax_and_semantics	Büring, Daniel and Hartmann, Katharina		The syntax and semantics of focus-sensitive particles in German		2001	buring-hartmann_sensitive-particles2001
Cabredo_Hofherr-2012-prepositiondeterminer_amalgams_in_german	Cabredo Hofherr, Patricia		Preposition-determiner amalgams in German and French at the syntax-morphology interface		2012	hofherr_determiner-amalgams2012
Cahill-1997-the_inflectional_phonology_of	Cahill, Lynne and Gazdar, Gerald		The inflectional phonology of German adjectives, determiners, and pronouns		1997	cahill-gazdar_inflectional-determiners1997
Calanas_Continente-1998-a_functionallexematic_description_of	Calanas Continente, Jose-Antonio		A functional-lexematic description of the verbal core lexicon of the German language		1998	continente_lexematic-core1998
Calderwood-Schnorr-1996-collins_pocket_german_dictionary	Calderwood-Schnorr, Veronika and Grossmith, Bob		Collins pocket German dictionary: German-English, English-German		1996	calderwood-schnorr-grossmith_collins-pocket1996
Campanini-2012-the_syntax_and_semantics	Campanini, Cinzia and Pitteroff, Marcel		The syntax and semantics of analytic causatives: A Romance/German comparative approach		2012	campanini-pitteroff_analytic-causatives2012
Caratini-2009-vowel_and_consonantal_quantity	Caratini, Emilie		Vowel and consonantal quantity in German: synchronic and diachronic perspectives		2009	caratini_consonantal-quantity2009
Carroll-1993-the_representation_of_spatial	Carroll, Mary and Von Stutterheim, Christiane		The representation of spatial configurations in English and German and the grammatical structure of locative and anaphoric expressions		1993	carroll-von_configurations-anaphoric1993
